year,month,sbc_d11,sbc_rdp_d11,sbc_zlfn_d11,sbc_rdp_1_d11,sbc_rdp_2_d11,sbc_rdp_3_d11,sbc_rdp_4_d11,sbc_rdp_5_d11,sbc_rdp_6_d11,sbc_rdp_7_d11,sbc_rdp_8_d11,sbc_rdp_9_d11,sbc_rdp_10_d11,sbc_zlfn_1_d11,sbc_zlfn_2_d11,sbc_zlfn_3_d11,sbc_zlfn_4_d11,sbc_zlfn_5_d11,sbc_zlfn_6_d11,sbc_zlfn_7_d11,sbc_zlfn_8_d11,sbc_zlfn_9_d11,sbc_zlfn_10_d11,gini_d11,asegurado_d11,asegurado_rdp_d11,asegurado_zlfn_d11,esencial1_d11,esencial2_d11,esencial3_d11,esencial_rdp_1_d11,esencial_rdp_2_d11,esencial_rdp_3_d11,esencial_zlfn_1_d11,esencial_zlfn_2_d11,esencial_zlfn_3_d11,agro_d11,industria_d11,servicio_d11,patron1_d11,patron2_d11,patron3_d11,patron4_d11,patron5_d11,patron6_d11,patron7_d11,patron8_d11,gpoedad1_d11,gpoedad2_d11,gpoedad3_d11,gpoedad4_d11,gpoedad5_d11,mas_suspension_d11,menos_suspension_d11,mas_externa_d11,menos_externa_d11,mas_proximidad_d11,menos_proximidad_d11,mas_covid_d11,menos_covid_d11,hombre_d11,mujer_d11,teu_d11,tec_d11,tpu_d11,tpc_d11,asegent1_d11,asegent2_d11,asegent3_d11,asegent4_d11,asegent5_d11,asegent6_d11,asegent7_d11,asegent8_d11,asegent9_d11,asegent10_d11,asegent11_d11,asegent12_d11,asegent13_d11,asegent14_d11,asegent15_d11,asegent16_d11,asegent17_d11,asegent18_d11,asegent19_d11,asegent20_d11,asegent21_d11,asegent22_d11,asegent23_d11,asegent24_d11,asegent25_d11,asegent26_d11,asegent27_d11,asegent28_d11,asegent29_d11,asegent30_d11,asegent31_d11,asegent32_d11,asector1_d11,asector2_d11,asector3_d11,asector4_d11,asector5_d11,asector6_d11,asector7_d11,asector8_d11,asector9_d11,sbc_sec1_d11,sbc_sec2_d11,sbc_sec3_d11,sbc_sec4_d11,sbc_sec5_d11,sbc_sec6_d11,sbc_sec7_d11,sbc_sec8_d11,sbc_sec9_d11,inpc,sbc_rdp_d11_real,sbc_zlfn_d11_real
1998,1,91.30,92.07,85.81,26.60,28.59,35.60,40.18,43.68,55.51,73.40,99.25,149.32,372.90,32.45,38.91,41.97,44.54,47.63,61.54,72.96,89.44,126.63,307.67,0,10506351.00,9234211.00,1269765.00,4300790.50,5043828.00,1152475.75,3736792.50,4514344.50,975189.31,563625.81,527432.31,177986.70,245237.75,4687838.50,5574429.00,205373.34,839552.94,2604905.00,2351308.00,1113686.13,1059007.88,2311025.25,20906.97,2735281.25,3906717.50,2310880.50,1078265.88,478473.44,4436921.00,6068533.50,1023418.50,9482487.00,677608.75,9830083.00,5375985.00,5128072.00,7038212.00,3461564.25,896040.69,5222.21,9541636.00,62974.58,148298.73,490231.06,66084.86,65966.16,430591.19,59418.47,96279.16,586649.88,2054217.50,158128.56,412655.25,112302.37,123428.18,848202.69,872766.19,197157.17,126717.27,53949.13,797059.00,119832.92,337164.69,197762.91,130086.23,185696.94,256800.84,334988.34,91207.38,398450.78,63255.54,427949.94,180659.27,79892.04,245237.75,73763.13,3720264.00,755274.94,135981.83,1926300.63,556957.06,1937891.63,1149795.38,51.73,94.59,88.61,57.76,159.05,81.80,127.39,106.58,101.53,34.00392411,341.1545026,317.9414582
1998,2,92.84,93.51,87.65,26.67,28.73,35.84,40.45,44.05,56.61,74.21,101.35,152.70,378.13,32.90,39.50,43.28,45.74,48.83,67.21,73.31,91.87,129.37,314.72,0,10546519.00,9272055.00,1274187.25,4329188.50,5053908.50,1160521.88,3762208.00,4526130.00,982935.44,566992.06,527755.50,178278.75,233053.63,4711762.50,5598758.00,206025.45,841478.56,2618430.50,2376385.50,1102011.63,1078100.63,2303911.75,21301.64,2746417.75,3914860.25,2320754.00,1083503.25,485586.88,4471477.50,6076320.00,1033700.25,9513593.00,683044.44,9865186.00,5417442.00,5129686.50,7063911.50,3478873.00,921646.38,-6003.88,9572256.00,62804.50,149074.69,490327.06,66237.64,66500.70,434175.03,60272.75,95840.77,589163.06,2057338.63,160471.13,414264.19,112337.16,124119.70,853157.81,881028.13,198993.84,126991.91,54662.89,802573.75,121511.77,340793.25,199306.36,130896.09,186430.63,256767.44,331860.34,90746.32,402121.72,63202.40,431334.47,181931.39,80535.37,233053.63,73459.06,3745235.50,759257.94,136616.42,1939509.25,560464.88,1946331.50,1150506.38,53.31,97.04,90.56,58.56,154.66,81.72,123.39,108.60,103.79,34.59923784,340.5269244,319.198967
1998,3,93.77,94.44,88.96,26.73,28.86,36.11,40.74,44.35,57.83,74.44,103.21,154.50,380.67,32.98,39.65,42.74,45.66,49.74,66.92,73.29,94.21,131.85,319.27,0,10650144.00,9362040.00,1287955.13,4364893.50,5101069.00,1178781.63,3791247.75,4565454.00,999351.31,573349.81,535022.88,179002.25,255572.47,4762433.00,5621491.50,205834.48,844602.50,2634123.50,2398777.00,1126074.13,1083976.25,2335887.00,21205.84,2767933.25,3945037.00,2343088.50,1098472.13,491344.78,4511864.00,6137338.50,1047385.13,9602049.00,684961.25,9967971.00,5466751.00,5182193.50,7145445.50,3502801.00,953959.13,12211.54,9618446.00,63118.53,150646.06,493657.75,66885.66,66989.66,438113.06,61510.73,96296.19,593988.19,2066762.13,162545.92,419905.47,112157.05,125359.17,859497.94,888883.00,199962.86,128015.80,55357.29,807499.56,122684.91,345581.56,200814.97,132573.05,192405.95,261307.30,339565.91,91518.73,405412.38,64340.55,434709.31,184087.09,81510.66,255572.47,73262.86,3781419.75,770987.81,137331.75,1952603.13,563145.88,1951410.13,1153978.63,52.60,97.97,91.44,59.38,164.13,83.14,124.44,108.29,105.87,35.0045334,339.9332571,320.2024752
1998,4,95.26,95.87,90.63,26.78,28.88,36.28,40.86,44.69,58.75,74.98,104.81,156.52,386.62,33.17,39.82,42.93,46.14,50.94,68.43,73.85,95.26,134.20,325.74,0,10715780.00,9428036.00,1290897.50,4386008.50,5153498.50,1180753.63,3811012.00,4614167.00,1000757.88,575967.75,536760.06,177966.09,286485.50,4786420.00,5648724.00,205986.95,847440.56,2642273.75,2410021.00,1130194.75,1102566.00,2358695.50,21345.23,2781080.25,3968918.50,2359715.00,1109379.75,498333.66,4533064.50,6182038.00,1050816.63,9663403.00,687008.19,10026982.00,5492369.00,5224803.00,7196339.50,3520177.00,963268.88,41472.57,9643028.00,63004.00,151835.98,493503.06,66727.59,68863.05,439385.09,61995.09,96592.13,596298.19,2070534.38,163781.72,423849.56,112534.54,126465.27,864865.13,890417.88,202443.91,128793.42,56805.64,809911.13,123313.77,350638.47,202100.94,134533.66,191404.59,264871.97,340824.03,92949.02,408282.16,64572.94,450218.72,185056.17,81997.18,286485.50,72973.14,3802697.50,772021.06,136694.22,1961609.88,566469.31,1960504.38,1158716.38,51.29,98.75,92.59,60.15,167.31,84.03,128.06,109.75,108.18,35.33204206,341.8800209,323.2035201
1998,5,96.61,97.10,92.86,26.82,29.03,36.53,41.10,44.95,60.10,75.90,107.06,158.46,391.47,33.26,40.05,43.30,46.63,52.26,69.59,74.39,99.85,140.25,333.49,0,10762324.00,9472518.00,1291864.88,4404723.50,5175194.00,1185836.88,3828297.25,4637094.00,1008082.00,575962.00,537969.13,177278.17,302698.22,4798814.00,5662734.00,206001.83,848867.75,2648450.00,2426063.75,1129632.25,1106855.25,2376755.50,20956.89,2786949.50,3983398.00,2372364.50,1118102.25,503320.06,4554901.00,6208100.00,1053345.63,9710143.00,688632.06,10073719.00,5515714.50,5248262.50,7230236.00,3531815.75,980135.00,72681.90,9662003.00,63107.68,152844.20,493731.16,68028.72,69801.15,440741.25,62289.32,98203.25,597733.50,2071754.25,163668.31,427061.59,112615.80,126976.30,867827.88,893098.81,204029.16,130695.03,58450.77,812888.31,122961.59,354350.03,202820.23,136296.31,190985.53,265862.75,337626.66,93174.59,411482.06,65279.96,458428.03,186371.67,82140.66,302698.22,73062.91,3812172.50,776578.44,136803.09,1966284.38,567626.75,1964591.13,1164993.25,49.87,100.07,94.15,60.97,170.22,85.06,140.38,111.14,110.05,35.61348136,343.5476967,328.5413863
1998,6,97.64,98.16,94.15,26.87,29.26,36.80,41.31,45.34,61.34,76.74,108.66,160.80,396.49,33.43,40.34,43.73,47.18,52.89,70.25,74.96,100.13,139.53,337.86,0,10816071.00,9521616.00,1297161.25,4433405.00,5198431.00,1182882.88,3853065.50,4659363.00,1006699.63,580572.69,538365.06,177328.09,316361.94,4821857.00,5682864.50,206037.61,851496.00,2657906.00,2446342.00,1124825.88,1116615.88,2391130.75,21693.12,2792160.25,4000895.25,2386438.75,1128505.50,509159.03,4581187.50,6235388.50,1055551.50,9761241.00,689894.63,10128243.00,5546354.00,5269169.00,7265450.00,3551157.25,987731.63,76051.87,9697692.00,63140.18,154447.00,492504.69,68284.74,70626.05,441709.44,62690.23,98349.18,601400.19,2078537.38,163592.25,429072.47,113147.14,128175.74,872320.25,895887.69,203215.17,131421.75,61106.01,816162.94,123335.14,358182.47,202500.38,138301.94,190775.28,268236.16,339687.97,92750.88,413785.47,65834.51,472985.00,185885.53,83087.63,316361.94,72574.15,3833523.75,774365.56,137584.30,1974105.38,568431.19,1971493.13,1169512.63,48.84,102.52,95.74,61.79,167.62,86.50,131.70,112.31,111.85,36.03442041,343.2269235,329.2017881
1998,7,99.22,99.74,95.42,26.93,29.51,37.11,41.57,45.90,62.60,78.04,110.00,163.33,402.15,33.55,40.40,44.05,47.67,53.59,70.67,76.04,100.59,141.76,343.17,0,10882987.00,9574208.00,1309333.25,4466481.00,5216286.50,1198106.25,3880018.25,4670794.00,1020283.13,586073.31,545203.00,177457.95,317075.22,4849632.00,5714067.00,206066.69,853646.56,2671909.00,2466589.00,1125583.50,1125060.38,2405088.00,21755.85,2808295.00,4021712.75,2400388.00,1138432.63,514014.69,4613779.50,6264900.00,1061250.13,9818196.00,692624.00,10186053.00,5584918.50,5294798.00,7303299.00,3575261.25,1007601.50,75627.90,9736509.00,63479.19,155706.23,499159.25,68949.87,71480.45,443896.34,62666.84,99013.42,610480.94,2084954.00,163261.16,432621.66,113667.78,128457.77,877065.38,902468.31,202674.41,132258.16,59393.34,817819.88,124183.93,360207.91,205099.63,142488.72,192377.77,270735.09,345651.44,91759.61,416640.84,66391.09,464747.22,188339.63,83580.52,317075.22,72061.45,3854855.25,788265.31,137561.81,1991012.75,571045.69,1978617.38,1174058.13,49.71,105.22,96.89,62.46,172.96,87.25,134.66,113.98,112.97,36.38187811,345.4275207,330.4415616
1998,8,100.99,101.54,96.88,26.98,29.87,37.58,41.87,46.47,64.32,79.55,111.95,166.22,409.41,33.67,40.62,44.37,48.25,54.98,71.19,76.96,102.14,144.28,348.70,0,10934424.00,9616373.00,1319704.13,4492515.50,5231613.50,1214882.50,3902353.75,4682052.00,1034923.75,589965.81,548846.88,180166.63,310281.56,4885382.00,5741663.50,206281.33,856374.13,2684749.00,2481057.75,1143974.75,1126032.13,2413252.50,21877.49,2817324.25,4037044.25,2414015.50,1147780.00,518562.50,4643760.50,6290050.50,1062845.75,9870557.00,696218.94,10238448.00,5615086.00,5318895.50,7339470.00,3598603.75,1027669.38,71072.86,9765277.00,64026.40,157139.39,502111.94,69869.96,72879.84,446539.81,62495.22,99597.73,616397.94,2094253.50,164243.45,435972.25,113928.43,128807.98,880950.94,905538.75,203516.59,132753.95,58942.24,823283.81,124078.00,363129.56,207427.67,146611.66,192692.73,268336.44,346602.72,90709.95,420672.69,67518.48,461803.88,190443.13,84466.57,310281.56,70012.88,3876858.00,799698.31,137994.22,2000228.75,573612.13,1991034.50,1178118.00,50.63,107.55,98.63,63.24,176.58,88.28,136.48,115.16,117.36,36.7316321,348.2894372,332.3187788
1998,9,102.38,102.98,98.08,27.04,30.12,37.86,42.14,46.91,65.66,80.74,113.48,168.79,415.11,33.75,40.86,44.85,48.48,55.72,71.64,76.60,102.43,145.87,355.93,0,10995133.00,9661569.00,1332129.38,4519931.50,5252270.00,1226556.13,3925255.75,4696496.50,1044557.25,593758.81,558612.69,182255.91,310066.53,4914772.00,5772579.50,206348.34,858177.44,2698107.25,2503979.25,1154781.00,1125187.50,2434801.25,21836.60,2829425.25,4052298.00,2427099.50,1157278.63,523053.22,4677450.00,6316227.00,1067973.75,9926715.00,700188.88,10295009.00,5652304.50,5339431.00,7377716.00,3619546.75,1048050.13,69547.24,9805826.00,63746.59,157902.63,508566.78,69986.08,74146.01,449449.06,62893.87,99632.12,621349.31,2104775.75,164048.94,438078.50,114237.58,130601.12,885501.75,906553.63,202798.16,132829.22,59411.28,828000.81,124625.56,365237.38,208270.38,149587.28,194004.06,273135.41,349315.00,90187.27,425635.28,68748.43,459139.13,192114.44,84743.70,310066.53,68828.94,3899720.50,808587.00,138032.05,2009022.38,577565.81,2004073.50,1182122.63,51.48,110.02,99.95,63.81,181.36,89.37,139.49,116.01,119.70,37.32737639,347.6026916,331.0537732
1998,10,103.84,104.41,99.89,27.09,30.42,38.12,42.37,47.43,67.02,81.93,115.00,170.94,421.31,33.99,41.12,45.13,48.86,57.79,72.44,78.10,105.02,150.25,361.82,0,11032833.00,9694684.00,1337061.00,4534582.00,5265970.00,1240643.75,3938643.75,4709125.00,1056831.13,596880.13,556169.19,184234.73,310996.69,4943700.50,5784540.50,206575.36,860235.00,2709987.25,2515870.25,1168029.50,1130784.00,2421829.00,21808.70,2833812.75,4063846.00,2440364.00,1165912.38,528506.75,4696204.50,6337101.00,1071402.75,9961356.00,703341.13,10329174.00,5674740.00,5356968.50,7403284.50,3633314.00,1060810.25,69288.91,9835036.00,63810.57,157768.83,510203.41,70036.10,73288.02,451390.09,63103.04,100643.69,622617.38,2105120.50,163947.22,440586.50,114557.32,130489.05,890596.19,906828.75,204076.47,132643.73,59728.93,831914.38,124030.16,367140.94,208514.73,153832.89,194862.55,276622.25,349589.97,90318.08,429533.91,68494.18,458513.16,193276.69,84166.43,310996.69,68499.45,3915648.00,819663.44,137865.05,2013398.50,581061.44,2008842.63,1184773.63,52.15,112.11,101.56,64.44,183.17,90.70,141.63,117.15,120.76,37.86226893,347.4539352,332.425162
