anio,sm_pa,NPSM
1976,354.1955218,No
1977,323.5634253,No
1978,316.0594928,No
1979,304.7892627,No
1980,275.70696,No
1981,278.7581315,No
1982,243.7558798,No
1983,194.4561948,No
1984,191.3885498,No
1985,180.0503679,No
1986,177.270587,No
1987,178.8589719,No
1988,145.7894742,No
1989,139.4831946,No
1990,139.4132838,No
1991,131.4725366,No
1992,117.4511118,No
1993,117.5244389,No
1994,117.4325441,No
1995,101.9461136,No
1996,105.2553944,No
1997,90.95813445,No
1998,100.7033465,No
1999,89.65860632,No
2000,90.56395005,No
2001,92.79551625,No
2002,92.8617156,No
2003,93.33305592,No
2004,92.48753043,No
2005,93.53631237,No
2006,93.48921634,No
2007,93.60674673,No
2008,91.3938835,No
2009,92.31935658,No
2010,92.71635095,No
2011,92.97301049,No
2012,93.54238336,No
2013,93.86314967,No
2014,93.69722908,No
2015,96.86248494,No
2016,98.85659775,No
2017,112.0053999,No
2018,106.8442396,No
2019,120.7445228,Sí
2020,140.473123,Sí
2021,150.4732047,Sí
2022,172.87,Sí
